amount_standard_rank,未来5天收益
-1.0,0.0016385084703928546
-0.95,0.001241408390986445
-0.8999999999999999,0.004751706807293969
-0.8500000000000001,0.0008829112967371798
-0.8,0.007406618003664088
-0.75,-0.003691299515563999
-0.7,-0.003469782916954863
-0.6499999999999999,-0.006031797849801348
-0.6000000000000001,0.0005105466243936926
-0.55,0.009035119747669232
-0.5,-0.0035607406039168264
-0.44999999999999996,0.00426430232295693
-0.3999999999999999,0.013340072733390152
-0.3500000000000001,0.002566691412407066
-0.30000000000000004,0.00013833209342914218
-0.25,-0.008396312967888467
-0.19999999999999996,-0.009452140026615163
-0.1499999999999999,-0.002152138988109358
-0.10000000000000009,0.00458734302659986
-0.050000000000000044,0.004520976741664481
0.0,-0.007800437990242246
0.050000000000000044,0.0015727335922095535
0.09999999999999998,0.0011115283005822074
0.15000000000000002,-0.004151271919839978
0.19999999999999996,0.0007522566781380609
0.25,0.004098372840181935
0.30000000000000004,0.0018673444118893167
0.35,0.016723783391599405
0.4,0.0027670811335229863
0.44999999999999996,0.00578399056537911
0.5,0.0005151023685949112
0.55,0.0040974727869023805
0.6,0.007591754761195638
0.65,0.003129885958629358
0.7,0.006973576289673004
0.75,0.0031879150140927226
0.8,0.001994170399216057
0.85,0.008353539069952254
0.9,0.00829332904921152
0.95,0.0102660607652062
1.0,0.01597548958068346
